s1_id,name,addr,country,pred_cid,cand_name,cand_addr,score,num_candidates,error_type
S1-637725381,apex point inc,410 dearborn avenue  muscle shoals  al,US,S3-944158844,apex point inc,,0.79,1,same_name_different_addr
S1-63783149,cultural foundation,1937 kennedy drive  fairfax county  va,US,S3-646903290,cultural foundation,casey ln  bristow  virginia,0.79,30,same_name_different_addr
S1-638079818,saragosa  yuhasz and nolan angel,wi  12507 n jacqueline court  city of mequon,US,S3-330362576,saragosa  yuhasz and nolan angel inc,meuqon  12528 n jcqueline ct  wisconsin,0.8167,113,approx_name_match
S1-638554966,division of environmental protection,1020 ridgeway avenue  unit unit 2  rochester  ny,US,S2-969307544,division of environmental protection,pmb 5389  brooklyn  ny  494 p,0.8025,31,same_name_different_addr
S1-639864732,rogers and large praetorian,101 airport avenue  bldg hangar 7 24  city of cumberland  wi,US,S3-382656293,rogers and large praetorian east,wisconsin  cumberland township  103 airport ave,0.7759,50,approx_name_match
S1-639952520,robinson   thomas flag llc,30866 all view drive  running springs  ca,US,S2-507861500,robinson   thomas flag llc,linda lane  linton  in,0.79,2,same_name_different_addr
S1-640262018,villanueva s total logistics,7946 suiter way  hyattsville  md,US,S2-534377957,villanueva s total logistics valley,7953 suiter way  hyattsville  md,0.5571,26,approx_name_match
S1-64109578,coastal custom entertainment associates,43 chinaberry cove  jackson  tn,US,S2-724486520,coastal custom entertainment associates holdings,48 chinaberry cv  jackson townshhip  tn,0.5337,24,approx_name_match
S1-641220040,patel  ward and jackman technologies llc,1377 morrows place  lenoir  nc,US,S3-668988435,patel  ward   jackman northside technologies llc,north carolina  lenoir  1378 1382 morrows place,0.644,24,approx_name_match
S1-641531702,gonzalez  mcmahan and hoffman interprivate,5300 parkview drive  or  unit  1026  lake oswego,US,S2-16455391,gonzalez  mcmahan and hoffman interprivate inc,or  lake oswego  5302  parkview dr,0.863,45,approx_name_match
S1-644114680,arts institute,in  richmond  6015 227,US,S3-755332881,arts institute,,0.85,29,same_name_different_addr
S1-644297471,aurify british llc,801 225 toftrees avenue  patton twp  pa,US,S2-468193917,aurufy british,801 225 toftrees ave  patton twp  pa,0.6759,72,approx_name_match
S1-645099513,galvan  shannah  d d s,7090 highway 100  bon aqua  tn,US,S2-134402550,galvan  shannah  llc center center,tn  bon aua cdp  7095 highway 100,0.5648,99,approx_name_match
S1-645823277,favaus llc,258 yukon avenue  tulsa  ok,US,S2-289698176,favaus llc,colonie  ny  15  hanifin ave,0.8067,3,same_name_different_addr
S1-649161926,golden pub,2280 roosevelt boulevard  unit apartment 5  eugene  or,US,S2-825919303,golden pub,sacramento  ca  2809 grove ave,0.79,37,same_name_different_addr
S1-649916853,board of transportation,1382 branch road  belle  wv,US,S3-564151203,board  of transportation,,0.7793,41,approx_name_match
S1-650357142,sentell  smith and hull,berlin  111 lyman road  ma,US,S3-260971925,sentell  smith and hull eastgate,132 lyman rd  berlin  massachusetts,0.7927,27,approx_name_match
S1-651617451,federal charities,401 campus circle  waukegan  il,US,S2-431530634,federal charities,streator  il  121 2st street,0.8067,25,same_name_different_addr
S1-651808102,nike bevington arc inc,thurmont  md  11649 baugher road,US,S2-662180046,nike bevington partners center,0011670 baugher rd  thurmont  md,0.6426,61,approx_name_match
S1-652010176,delta montessori school center,6107 rattmann road  town of burke  wi,US,S2-653446460,delta montessori school center co,6111 rattmann rd  town of burke  wi,0.608,9,approx_name_match
S1-652539786,sullivan  pacheco   sewell spark pc,4604 15th avenue  wa  spokane valley,US,S2-497065197,sullivan  pacheco    sewell spark pc,angie drive  cedar falls  ia,0.7701,27,approx_name_match
S1-653234193,ronnica reichert custom alternative group,oh  6 maple hill drive  west carrollton,US,S2-401810984,ronnica reichert custom alternative  inc,hlbert  51  ok,0.7644,74,approx_name_match
S1-653451247,federal center inc,1262 trillium court  batavia  il,US,S3-902125422,federal center inc,po box 6549  streamwood  68 winding run lane  illinois,0.79,13,same_name_different_addr
S1-658239526,empire trust,unit d5  133 jabish street  ma  belchertown,US,S2-837526301,empire trust,743 pleasant valley ave  riverside  oh,0.79,57,same_name_different_addr
S1-658274935,3278 fourth st partners company,1240 stringham avenue  unit 211  salt lake city  ut,US,S3-325304011,3278 fourth st partners co,1251 stringham avenue  unit 211  salt lake city  utah,0.5377,53,approx_name_match
S1-658308959,garcia furniture llc,636 3800  north ogden city  ut,US,S2-940077299,garcia furniture coastal llc,647 3800  north ogden city  ut,0.5325,43,approx_name_match
S1-659286122,highland fellowship inc,3005 headly drive  austin  tx,US,S2-206247118,highland fellowship inc,oh  974 poplar street  nelsonville,0.79,19,same_name_different_addr
S1-659593872,tiify,4237 176th street  oh  cleveland,US,S2-592100394,tiify inc   center,ok  1713 119th st  jenks,0.6872,45,approx_name_match
S1-660379039,hensley   crosby hotel inc,315 constance road  suffolk city  va,US,S2-344260457,hensley   crosby hotel harbor inc,319 constance road  suffolk city  va,0.5574,29,approx_name_match
S1-661158946,misoft llc,197 central avenue  unit a  newark  oh,US,S3-351774525,misoft llc,kansas  salina  2620 bret avenue,0.8036,50,same_name_different_addr
S1-661840388,animal welfare initiative,me  28 pine ridge drive  nobleboro,US,S2-618179653,animal welfare initiative,null  tx  259 blanchette street  beauont,0.85,38,same_name_different_addr
S1-663346228,bay charter school,210 7th street  canby  mn,US,S2-835899465,bay charter school,,0.79,11,same_name_different_addr
S1-665319910,board of health,wi  city of onalaska  unit apt 304  353 mason street,US,S3-403610149,board of health,146 main strete  village of dousman  wisconsin,0.7994,43,same_name_different_addr
S1-665521471,owens pediatrics,3556 philsdale avenue  memphis  tn,US,S2-900512516,owens pediatrics,or  1452 sandy ln  hermiston,0.79,13,same_name_different_addr
S1-666254757,deena dhaliwal all titan pc,il  5813 deer creek lane  westmont,US,S2-522712800,deena dhaliwal all titan north pc,5818 deer creek ln  westmont  il,0.8087,75,approx_name_match
S1-666713126,kerstin anderson  do llc,va  smyth county  180 spring hollow road,US,S2-401112843,kerstin do anderson  westgate llc,00201 spring hollow rd  smyth county  va,0.7752,42,approx_name_match
S1-667726310,cason and edmonds orange,md  unit 333  2445 holly avenue  annapolis,US,S3-906587613,cason edmonds and  brokerage,002447 holly ave  pmb 5712  annapolis  maryland,0.6035,57,approx_name_match
S1-667824522,liberty charities,1460 scenic drive  herculaneum  mo,US,S2-883699303,liberty  charities,twentieth ct  sammamish  wa,0.7844,55,approx_name_match
S1-668648963,oncology precision physicians  llc,249 1100  neoga  il,US,S2-986595982,oncology  precision physicians  partners inc,neoga  27 1100  null  il,0.7775,30,approx_name_match
S1-668778032,main street bike shop,301 stewart  meadowlakes  tx,US,S3-986524238,main street bike shop,,0.79,58,same_name_different_addr
S1-669430304,vanni s star pub,tiverton  40 linda road  ri,US,S2-285021407,vanni s star engineering,ri  tiverton  53 linda road,0.7521,49,approx_name_match
S1-669564879,arts fund inc,11212 brista way  austin  tx,US,S2-436911010,arts fund valley inc,autin  tx  11223 1 2 brista way,0.7316,61,approx_name_match
S1-669776366,dorian obrien modern consultants llc,2355 cedar oaks drive  conway  ar,US,S2-186327278,dorian obrien modern consultants southside llc,2360 cedar oaks drive  conway  ar,0.5611,54,approx_name_match
S1-671317576,community program,395 100  bountiful  ut,US,S2-586215427,community program,,0.79,28,same_name_different_addr
S1-673459461,lw optimal aeon pllc,110 depot street  rolling prairie  in,US,S2-160228183,lw optimal aeon corp,119b depot saint  rolling prairie  in,0.7977,57,approx_name_match
S1-675156919,uptown hair studio,ma  unit 1  130 summer street  somerville,US,S2-281300879,uptown hair studio,120 1 2 waverly street  framingham  ma,0.8309,42,same_name_different_addr
S1-67665527,modesta brumbaugh fresh liberty llc,mn  argyle  109 sutton street,US,S2-287369258,modesta brumbaugh fresh liberty ltd,111 sutton street  null  argyle  mn,0.853,55,approx_name_match
S1-676802254,coastal council,1379 whitt lane  clarksville  tn,US,S2-57878618,coastal council,me  portland  86 ashley ln  pmb 487,0.8036,61,same_name_different_addr
S1-677962402,lower learning center care,nc  1518 benjamin parkway  unit b  greensboro,US,S2-271216847,lower learning center care inc,01519 benjamin pkwy  greensboro  nc,0.8376,1,approx_name_match
S1-680806339,nique,2936 barnhill place  xenia  oh,US,S2-233154310,nique,381a middle rd  po box 6071  farmington  ct,0.79,43,same_name_different_addr
S1-681972975,select premier pet care inc,13607 white cliff drive  houston  tx,US,S2-327045469,supreme patriot hsse,13607 white cliff dr  houston  tx,0.5808,22,approx_name_match
S1-682553392,blue barbershop,wills point  tx  2379 3810,US,S2-903078553,blue barbershop,,0.85,29,same_name_different_addr
S1-682762640,cancer fund,320 14th street  west memphis  ar,US,S3-752087811,cancer fund,,0.79,37,same_name_different_addr
S1-6830655,integrated dynamic vendome inc,tn  3350 robeson road  sevierville,US,S2-46840679,partners  integrated dnaihc vendome,3351 robeson road  sevierville  tn,0.5448,20,approx_name_match
S1-683171516,fae woodfork translational llc,tn  manchester  69 expressway drive,US,S3-32500793,fae woodfork translational east llc,80 expressway drive  manchester  tennessee,0.8035,47,approx_name_match
S1-683697064,leola kleinschmidt clear eureka llc,seattle  8402 18th avenue  wa,US,S3-265872818,leola kleinschmidt clear eureka inc,8415 18st avenue  seattle  washington,0.7826,99,approx_name_match
S1-685440567,housing committee,437 walther road  newark  de,US,S2-4062614,housing  committee,near dr  grove city  oh,0.7844,22,approx_name_match
S1-686803444,west iris,459 pietro street  salem  or,US,S2-602305591,west iris,book rd  naperville  il,0.79,4,same_name_different_addr
S1-687915809,trinity synagogue,106 robin hood road  henrico  nc,US,S2-808851266,trinity  synagogue,lindsay  00309 elmwood drive  ok,0.7844,29,approx_name_match
S1-688053718,milhouse safe platinum,705 taylor street  wichita falls  tx,US,S2-324274008,milhouse safe platinum corp,712 1 2 taylor st  wichita falls  tx,0.5392,8,approx_name_match
S1-690146011,happy pizza,austin  554 harrod road  in,US,S3-183725801,happy pizza,ainsworth ave  tacoma  washington,0.85,32,same_name_different_addr
S1-692110158,sweet yoga,114 mayfield drive  michigan city  in,US,S2-771433009,sweet yoga,upper dublin township  1720 hood ln  pa,0.79,24,same_name_different_addr
S1-692242229,rz silver analytics inc,wv  3251 main hewett creek road  lake,US,S2-79089470,rz silver analytics inc,4128 mcallister ave  po box 5332  columbus  oh,0.79,76,same_name_different_addr
S1-692966648,allen diamond taiwan llc,139 webbs mill drive  fort mill  sc,US,S3-481324562,allen diamond partners center,148b webbs mill dr  fort mill  south carolina,0.5739,22,approx_name_match
S1-694245054,summit block inc,10375 irvington bayou la batre highway  irvington  al,US,S2-455406958,summit block inc,,0.79,29,same_name_different_addr
S1-694480570,re allied avalanche inc,1021 lewis street  memphis  tn,US,S2-55263124,re allied avalanche llc,tn  1028d lewis street  memphis,0.8645,1,approx_name_match
S1-694491942,environmental coalition,1108 shepherd lane  cincinnati  oh,US,S2-201708771,environmental coalition,ks  augusta  6264 church road,0.79,9,same_name_different_addr
S1-694655970,eden metropolitan spartacus,1400 alma school road  unit 216  chandler  az,US,S2-621744233,eden metropolitan spartacus llc,1405 alma school rd  chandler  az,0.5589,1,approx_name_match
S1-695607786,lucky bakery,7655 st rte 703  celina  oh,US,S3-781685326,lucky bakery,mylod st  norwood  massachusetts,0.8067,76,same_name_different_addr
S1-695872363,dental care p c,15336 181st avenue  woodinville  wa,US,S3-712896434,dental care p c,,0.79,16,same_name_different_addr
S1-698161773,chiropractic great care  llc,24427 robin hood place  sherwood  or,US,S2-285649779,ensor direct llc,24427 robin hood pl  sherwood  or,0.5853,11,approx_name_match
S1-698552694,diaz  murphy and walsh keycorp inc,1217 18th ave  council bluffs  ia,US,S3-405168691,diaz   murphy and walsh keycorp group,council bluffs  1238 18th ave  iowa,0.7876,12,approx_name_match
S1-699709235,lumeon esports partners,fayetteville  6819 timbercroft lane  nc,US,S3-194974496,lummeon partners  esports,north carolina  fayetteville  6840  timbercroft lane,0.6714,46,approx_name_match
S1-700847247,tarr  bradley and cansino care,6460 harrell drive  pfafftown  nc,US,S2-234110541,tarr  bradley and cansino care  coastal,nc  pfafftown  6481 harrell drive,0.853,49,approx_name_match
S1-701592456,route 29 barbershop,9004 woodmoss lane  unit apt 3b  indianapolis  in,US,S3-483952978,route 29 barbershop inc,9005 woodmoss ln  indiana  unit apt 3b  indianapolis,0.5498,32,approx_name_match
S1-704074527,gilbertine merrit packaging center,737 heartpine drive  mebane  nc,US,S2-799835568,murry merrit packaging center,737 heartpine drive  mebane  nc,0.6962,32,approx_name_match
S1-704238838,regional veterinary clinic llc,wichita  13926 onewood street  ks,US,S2-106244828,regional veterinary clinic inc,3937a wren dr  brownnsburg cdp  in,0.7684,16,approx_name_match
S1-704255149,economic development alliance,6209 matamoros road  rio rancho  nm,US,S3-760219578,economic development alliance inc,,0.7404,24,approx_name_match
S1-705305633,paolina fuentes creative rogers  llc,1461  713 cape ann way  virginia beach city  va,US,S2-560986681,fuentes  paolina creative rogers  corp,va  1461  717 cape ann way  virginia beach city,0.7039,50,approx_name_match
S1-709554753,charette defi corp,washington  dc  1330 massachusetts avenue  unit 421,US,S2-132953804,charette dbbie  llc,1339  massachusetts ave  washington  dc,0.5593,10,approx_name_match
S1-710175601,golden bakery,126 fay street  unit apt 9  frederick county  va,US,S2-207666706,golden  bakery,bremerton  wa  po box 2137  290  tahuyeh pl,0.7829,32,approx_name_match
S1-710337693,harbor fellowship,12846 slade castle court  charlotte  nc,US,S2-566738522,harbor fellowship,love ln  waynesville  nc,0.8067,17,same_name_different_addr
S1-714059515,orthopedic ridge specialists,810 17th street  bellingham  wa,US,S2-593998549,orthopedic ridge specialists llc,appleton st  arlington  ma,0.7647,7,approx_name_match
S1-714739062,downtown massage,5602 209th street  spanaway  wa,US,S2-723046947,downtown  massage,ar  second st  biscoe,0.8029,63,approx_name_match
S1-71496195,bevoix group,711 esk avenue  celina  tx,US,S2-532719711,bevoix group co,724  esk avenue  celina  tx,0.54,19,approx_name_match
S1-716477961,evo,166 mystic street  arlington  ma,US,S2-489806282,evo,,0.79,3,same_name_different_addr
S1-716856347,beum,oh  canton  328 freedom avenue,US,S3-191937137,beum,8700 31st avenue  fl 1  lacey  wa,0.8036,43,same_name_different_addr
S1-718120271,wildlife project,554 paige lane  thousand oaks  ca,US,S2-991541830,wildlife  project,w  harftord  ct  20 hamlin drive,0.7841,17,approx_name_match
S1-71882279,lower learning center llc,1526 sam houston avenue  huntsville  tx,US,S2-538098679,lower learning center inc,tx  houston  911 commodore way,0.766,5,approx_name_match
S1-721123136,family guild inc,32 100  trenton  ut,US,S2-807054591,family  guild inc,,0.7654,27,approx_name_match
S1-723080144,conner safe agriculture llc,3700 valcartier street  bismarck  nd,US,S2-417503164,conner safe  agriculture harbor,nd  bismarck   3707 valcartier st,0.8189,7,approx_name_match
S1-723838639,surgical heritage specialists llc,299 adeles way  hendersonville  nc,US,S3-151634858,surgical heritage specialists llc,,0.79,1,same_name_different_addr
S1-725283331,cox auto sales llc,333 36th street  quincy  il,US,S2-373323548,cox auto sales metro llc,340c 36th st  quincy  il,0.8208,10,approx_name_match
S1-727235503,red seafood,1853 123rd avenue  omaha  ne,US,S2-737857407,red seafood,hollywood dr  null  w chester  oh,0.79,47,same_name_different_addr
S1-728389398,drayify space llc,3405 yupon street  unit a  houston  tx,US,S2-645169661,drayify space partners,tx  3426 yupon st  houston,0.7672,78,approx_name_match
S1-728817667,miller meridian llc,2914 dunmurry road  unit apartment c  dundalk  md,US,S2-42726556,miller meridian holdings,md  2923 dunmurry rd  dundalk,0.7933,1,approx_name_match
S1-729940581,midwest federation,1870 7  mn  maple lake,US,S2-257751046,midwest  federation,,0.7847,23,approx_name_match
S1-730602007,z s   c river llc,820 broadway street  helena  mt,US,S2-610801008,z s   c river inc,mt  helena  825 1 2 broadway st,0.8185,12,approx_name_match
S1-731636759,patriot charities,8630 crescent chase  unit apt 5  johnston  ia,US,S2-147652829,patriot charities,,0.79,63,same_name_different_addr
S1-731817495,ak impact inc,110 16th avenue  columbus  oh,US,S3-266616320,ak impact corp,121d 16th avenue  columbus  ohio,0.7914,1,approx_name_match
S1-732454235,huerta dbdr inc,tx  austin  8016 tisdale drive,US,S2-637404763,huerta dbdr  co,8018  tisdale dr  austin  tx,0.833,47,approx_name_match
S1-735311918,poole charter school llc,wv  evans  2605 evansview road,US,S2-235791304,poole charter  school inc,002608 evansview rd  po box 218  evans  wv,0.7973,2,approx_name_match
S1-735652402,a innovative abrdn,indianapolis  10522 patoka road  in,US,S3-213828404,a innovative abrdn,quebec cir  tooele  utah,0.85,77,same_name_different_addr
S1-737225668,first emanuel,5049 langham place  mobile  al,US,S3-495505037,first emanuel,,0.79,38,same_name_different_addr
S1-737574809,choice payroll industries llc,12 putting green lane  perinton  ny,US,S2-516050270,perinton choice praetorian inc,12 putting green lane   null   perinton  ny,0.5334,30,approx_name_match
S1-737708397,pelosoft blue wealth associates,rockingham county  va  2245 newberry lane,US,S3-140765704,co pelosoft blue wealth associates,2256 newberry lane  rockingham county  virginia,0.799,29,approx_name_match
S1-740354027,christ community church,18230 24  goshen  in,US,S3-931937224,christ community church,,0.79,26,same_name_different_addr
S1-741569890,flint inc,1293 24c street  nd  ruso,US,S3-260716762,flint  ltd,north dakota  ruso   1314 24c street,0.7524,28,approx_name_match
S1-743782328,ei babcock llc,126 franklin street  pottstown borough  pa,US,S3-551265325,ei babcock north llc,pennsylvania  pottstown township  128 132 franklin street,0.7343,70,approx_name_match
S1-744057039,rodriguez  bonita  ph d,12 wendy court  unit i  greensboro  nc,US,S2-850805546,rodriguez  bonita  ph d  corp,16  wendy ct  greensboro  nc,0.5322,15,approx_name_match
S1-744375503,rocky network,10705 huntersville commons drive  unit a  huntersville  nc,US,S2-951100790,rocky  network,,0.7829,53,approx_name_match
S1-744448974,carmela s capital specialists,933 madison avenue  bridgeport  ct,US,S2-573188798,carmela s capital specialists  inc,938 a madison avenue  bridgeport  ct,0.5679,31,approx_name_match
S1-744746991,cancer fund,unit j002  1533 ellis road  durham  nc,US,S3-752087811,cancer fund,,0.85,37,same_name_different_addr
S1-744808891,dental care associates,cincinnati  oh  3546 werk road,US,S2-682089029,dental center co,oh   5559 werk rd  cincinnati,0.6553,12,approx_name_match
S1-745533204,urology total partners,2244 perry drive  canton  oh,US,S2-442760694,urology total partners,halfmoon twp  pmb 7956  pa   232 stable view dr,0.8015,2,same_name_different_addr
S1-746240134,happy grill,1221 walnut street  unit 101  columbia  mo,US,S3-335139599,happy grill,,0.79,45,same_name_different_addr
S1-746535518,otha williams valley catering  inc,903 spring beach way  cary  il,US,S2-855404064,otha williams valley catering  corp,carry  910 spring beach way  il,0.8265,49,approx_name_match
S1-747795550,merrill s bike shop,17 s 8 road 6480  kirtland  nm,US,S3-54796582,james  bike shop,kirtland   17 s 19 road 6480  new mexico,0.5765,35,approx_name_match
S1-748399002,rocky association of xenia,oh  xenia  320 west street,US,S3-687016021,rocky xenia of association central,ohio  325 west st  xenia,0.7471,60,approx_name_match
S1-749353996,metropolitan fuel  inc,3n 739 baert lane  saint charles  il,US,S2-57243402,group metropolitan fuel,3n 741  baert ln  saint charles  il,0.807,2,approx_name_match
S1-751495147,integrated copley,edmond  809 blake court  ok,US,S3-204246854,integrated  copley,1591 castleton ave  staten island  new york,0.7844,4,approx_name_match
S1-754354325,trinity methodist church,240 kelly creek road  ardmore  tn,US,S3-594767907,trinity methodist church,,0.79,32,same_name_different_addr
S1-754374478,division of motor vehicles,245 middle road  acushnet  ma,US,S2-155086617,division of motor  vehicles,,0.7863,36,approx_name_match
S1-755229133,first presbyterian church llc,544 labore road  little canada  mn,US,S2-532423914,first presbyterian church,columbus  oh  003931 frazier road,0.7573,48,approx_name_match
S1-75554576,twisted barbershop llc,n14684 nn  stanley  wi,US,S2-895795984,twisted barbershop,,0.7696,77,approx_name_match
S1-758134027,conn ocean pc,tahuya  wa  151 myrlis joy drive,US,S2-149829205,conn chemical pc,155 myrlis joy dr  tahuya cdp  wa,0.6564,35,approx_name_match
S1-76022436,clear energia,9215 seven hills curve  mobile  al,US,S3-222791604,clear  energia,,0.7829,39,approx_name_match
S1-760647817,main street book store  llc,1036 delhi avenue  cincinnati  oh,US,S2-964790843,main street book store llc,,0.7863,38,approx_name_match
S1-761226068,back alley deli,4350 shining star drive  unit d  sacramento  ca,US,S2-97227677,back alley deli,,0.79,78,same_name_different_addr
S1-764080900,evvie zorrilla  m d   pc,105 7th avenue  yuma  az,US,S3-703034967,evvie zorrilla   pc llc services,yuma  null  0116 seventh avenue  arizona,0.5463,47,approx_name_match
S1-764452248,regional ministries,or  gresham  1014 ivory loop,US,S3-699264880,regional ministries,,0.85,32,same_name_different_addr
S1-768958185,ridge charities,9077 7th avenue  hesperia  ca,US,S2-519754298,ridge charities,state rte 141  gallipolis  oh,0.79,26,same_name_different_addr
S1-768964506,colon and ashworth,3173 banner springs road  fentress county  tn,US,S2-589266583,colon and ashworth partners,3178 banner springs rd  fentress county  tn,0.5417,58,approx_name_match
S1-770613160,commission on motor vehicles,24044 bethel road  babbie  al,US,S2-30472915,commission on motor vehicles,sether ave  glendle  or,0.79,65,same_name_different_addr
S1-770791975,american douglas,ky  bowling green  708 red clover avenue,US,S2-61864529,american   douglas,5327 hickory rd  indianapolis  in,0.7789,3,approx_name_match
S1-772197905,beaudoin  davenport and brown llc,1038 oakwood street  tyler  tx,US,S2-680335813,beaudoin  davenport and brown,8033b 25  rochester  in,0.7395,34,approx_name_match
S1-773393310,holy cathedral,535 39th street  topeka  ks,US,S2-700727925,holy cathedral,2158c industry dr  grants passs  or,0.79,36,same_name_different_addr
S1-776087469,summit capital partners llc,2719 bear paw drive  in  portage,US,S2-968373027,summit capital  partners llc,n st  elwood  in,0.7864,2,approx_name_match
S1-776343346,audrie karp tri state banking inc,ct  windsor locks  32 dickerman avenue,US,S2-600254329,karp  audrie tr  state banking holdings,52 dickerman ave   null   windsor locks  ct,0.6205,79,approx_name_match
S1-778215496,tatum and peck,45187 medleys neck road  leonardtown  md,US,S3-581931273,tatum and peck ltd,maryland  45192a medleys neck rd  leonardtown,0.8194,29,approx_name_match
S1-778217890,jack   meyer columbus llc,osceola  in  10568 edison road,US,S3-53659597,jack   meyer columbus west llc,10579 edison rd  osceola  indiana,0.7924,14,approx_name_match
S1-77827449,commission on housing partners,1401 candlewood court  wheeling  il,US,S2-431594686,commission on  housing partners,,0.7734,4,approx_name_match
S1-779550869,qutech corp,6245 sr 56  london  oh,US,S2-14287504,qutech corp,oh  827 walnut street  urbana,0.8067,22,same_name_different_addr
S1-779891497,willcutt pacific line pllc,430 buckingham road  unit 937  richardson  tx,US,S3-29683166,willcutt pacific line co,richardson  439 buckingham road  texas,0.7097,3,approx_name_match
S1-78005223,fisoft llc,16430 cavendish drive  houston  tx,US,S2-118113555,fisoft llc,n a  675  c fm 2693  tx  new waverly,0.8015,30,same_name_different_addr
S1-78056944,grand antimony inc,1902 mulberry street  van buren  ar,US,S2-533225498,grand antimony inc,,0.79,1,same_name_different_addr
S1-781206198,plumbers union local no 313,city of fitchburg  5498 jan drive  wi,US,S2-459049954,firefighters union local no 314 inc,109c stuart st  city of columbus  wi,0.5384,57,approx_name_match
S1-782593372,anchor ace quantumsphere,ny  liberty  793 dahlia road,US,S3-296123645,anchor ace quantumsphere   inc,95 dahlia road  liberty  new york,0.8074,1,approx_name_match
S1-783611020,sales  mateo   speight llc,27527 rosewood valley drive  katy  tx,US,S2-725712783,sales  mateo speight corp center,tx  027530 rosewood valley dr  katy,0.8456,58,approx_name_match
S1-784560472,spears  figueroa and welch,8456 hawley mills road  new paris  oh,US,S3-318221614,spears  figueroa and welch uptown,ohio  new paris    8467 hawley mills road,0.8323,65,approx_name_match
S1-787161603,lopez assets,2906 albuquerque place  broken arrow  ok,US,S2-949872348,lopez  assets,n32284  schansberg rd   null   blair  wi,0.7823,3,approx_name_match
S1-788170468,inge s heritage liquor pc,ky  2933 boy scout road  ashland,US,S3-977686827,inge s heliatie liquor partners,kentucky  ashland  null  02934 boy scout rd,0.6562,93,approx_name_match
S1-789243175,physical therapy clear specialists,il  east moline  2130 6th street court,US,S2-918907796,physical therapy clear specialists corp,east moline    2143 6th street court  il,0.9285,4,approx_name_match
S1-789471440,lucky bike shop,46 brendan street  stafford  ct,US,S2-16717599,lucky bike  shop,n a  festus  mo  118 henry street,0.7974,46,approx_name_match
S1-790336393,ellis cslm,6643 ives lane  maple grove  mn,US,S3-264317837,ellis cslm co,maple grove  minnesota  6650 ives lane,0.8188,48,approx_name_match
S1-790934041,robinet dennis water llc,il  lake forest  1414 kathryn lane,US,S3-9822859,robinet dennis security services llc,1416 kathryn ln  lake forest  illinois,0.6314,39,approx_name_match
S1-791389905,interfaith foundation,waverly town  314 main street  va,US,S2-432219469,interfaith foundation,wa  puyallup  6205 91st st,0.865,28,same_name_different_addr
S1-791672542,uptown pub,829 highland street  amarillo  tx,US,S3-244071827,uptown pub,houston  texas  8135 1 2 alpine bearberry dr,0.79,38,same_name_different_addr
S1-792013719,hastings   roberson,3244 90th street  village of sturtevant  wi,US,S2-567961859,hastings   roberson,,0.79,8,same_name_different_addr
S1-792431667,christ fellowship,3 martin lane  houston  tx,US,S2-424787486,christ fellowship,537b 7th st  premont  tx,0.8067,39,same_name_different_addr
S1-79318767,divue select apartment inc,lometa  tx  2380 county road 2800,US,S3-465435960,divue select apartment co,389 county road 2800  texas  lometa,0.8291,62,approx_name_match
S1-795863807,frontier college inc,3024 granville avenue  rotterdam  ny,US,S2-195350406,frontier college,vandalia avenue  tulsa  ok,0.751,9,approx_name_match
S1-795877247,north school of medicine llc,marysville  6220 58th street  wa,US,S2-713751905,north school of  medicine,wa  olympia  2416 mookie ln,0.7878,14,approx_name_match
S1-795963195,mccabe nuclear,1160 1st street  unit 408  washington  dc,US,S2-650459999,mccabe nuclear ltd,washington  dc  1161 1 2 first street,0.7759,6,approx_name_match
S1-797544334,iis elite vulcan inc,7725 ballantyne commons parkway  unit 102  charlotte  nc,US,S3-527046957,iis elite  vulcan westgate inc,7726c ballantyne commons pkwy  charlotte  north carolina,0.7411,39,approx_name_match
S1-799062154,straight edge book store,14520 brandywine heights road  brandywine  md,US,S2-76235549,straight  edge book store,,0.7672,60,approx_name_match
S1-799169616,value golden hair studio  llc,il  gurnee  1017 elsie avenue,US,S2-417372709,value golden hair  studio llc,or  19525 mahama place  portland,0.8379,37,approx_name_match
S1-802756302,liberty trust inc,4690 state rt 48  covington  oh,US,S2-885292465,liberty trust  inc,,0.7844,75,approx_name_match
S1-802820306,board of motor vehicles,16 bernice street  ny  johnson city,US,S2-981768072,board of motor  vehicles,dc  2800 quebec street  wshington,0.8008,26,approx_name_match
S1-803221077,metropolitan deli inc,1019 17th street  unit apt 7  norwalk  ia,US,S2-893710996,metropolitan deli inc,,0.79,3,same_name_different_addr
S1-803857917,allied charities,11323 carvel lane  houston  tx,US,S3-312516017,allied charities,clinton dr  houston  texas,0.8088,60,same_name_different_addr
S1-804261167,carney ampercap llc,va  8143 loving forest court  fairfax county,US,S2-347474078,carney motors,8152 loving forest ct  fairfax county  va,0.6066,69,approx_name_match
S1-804322429,opton ventures llc,oh  3610 54th street  cleveland,US,S2-931963498,opton ventures llc,2505 vesson ave  durham  nc,0.79,45,same_name_different_addr
S1-805456992,r  ready  llc,14502 roddy road  thurmont  md,US,S2-103227585,maid nails  co,14502 roddy road  md  thurmont,0.5302,21,approx_name_match
S1-807282337,ketech,152 jones road  lattimore  nc,US,S3-37044014,ketech,,0.79,37,same_name_different_addr
S1-808842069,uptown pilates  llc,120 victoria drive  lower allen township  pa,US,S2-460718380,uptown pilates llc,nc  5705 trevino street  hope mills,0.7847,39,approx_name_match
